"symbol","total_prices","stock_from_date","stock_to_date","total_earnings","earnings_from_date","earnings_to_date"
"A","5274","1999-11-18","2020-11-03","46","2009-05-14","2020-08-18"
"AA","1009","2016-11-01","2020-11-03","16","2017-01-24","2020-10-14"
"AAAP","574","2015-11-11","2018-07-18","0","NULL","NULL"
"AABA","5486","1998-01-02","2020-03-10","14","2014-01-28","2017-04-18"
"AAC","1294","2014-10-02","2020-07-02","22","2014-11-05","2019-08-30"
"AACG","3217","2008-01-29","2020-11-04","0","NULL","NULL"
"AACQ","43","2020-09-04","2020-11-04","0","NULL","NULL"
"AACQU","81","2020-07-14","2020-11-04","0","NULL","NULL"
"AACQW","43","2020-09-04","2020-11-04","0","NULL","NULL"
"AAL","3811","2005-09-27","2020-11-13","28","2014-01-28","2020-10-22"
"AAMC","1987","2012-12-13","2020-11-03","23","2013-05-09","2018-11-07"
"AAME","5756","1998-01-02","2020-11-13","39","2009-05-14","2018-11-13"
"AAN","5748","1998-01-02","2020-11-03","46","2009-08-05","2020-10-29"
"AAOI","1798","2013-09-26","2020-11-13","29","2013-11-07","2020-11-05"
"AAON","5756","1998-01-02","2020-11-13","46","2009-05-06","2020-11-05"
"AAP","4766","2001-11-29","2020-11-03","47","2009-05-20","2020-11-10"
"AAPL","5756","1998-01-02","2020-11-13","46","2009-07-21","2020-10-29"
"AAT","2469","2011-01-13","2020-11-03","39","2011-05-10","2020-10-27"
"AAU","3744","2005-12-20","2020-11-03","30","2011-08-11","2018-11-07"
"AAV","3601","2004-03-31","2018-07-19","0","NULL","NULL"
"AAWW","3780","2005-11-09","2020-11-13","47","2009-05-05","2020-11-05"
"AAXJ","3085","2008-08-15","2020-11-13","0","NULL","NULL"
"AAXN","4892","2001-06-07","2020-11-13","28","2014-02-26","2020-11-05"
"AB","5748","1998-01-02","2020-11-03","46","2009-07-30","2020-10-22"
"ABAC","2205","2010-07-20","2019-04-23","0","NULL","NULL"
"ABAX","5180","1998-01-02","2018-08-03","0","NULL","NULL"
"ABB","4926","2001-04-06","2020-11-03","40","2009-10-30","2020-10-23"
"ABBV","1975","2013-01-02","2020-11-03","31","2013-04-26","2020-10-30"
"ABC","5748","1998-01-02","2020-11-03","46","2009-07-30","2020-11-05"
"ABCB","5756","1998-01-02","2020-11-13","46","2009-07-21","2020-10-22"
"ABCD","2272","2009-12-09","2018-12-18","0","NULL","NULL"
"ABDC","1446","2014-05-09","2020-03-10","21","2014-11-10","2019-11-05"
"ABE","4358","2001-01-02","2018-06-06","0","NULL","NULL"
"ABEO","5756","1998-01-02","2020-11-13","25","2015-05-14","2020-11-09"
"ABEOW","941","2015-06-22","2020-01-29","0","NULL","NULL"
"ABEV","5748","1998-01-02","2020-11-03","29","2014-02-26","2020-10-29"
"ABG","4690","2002-03-21","2020-11-03","46","2009-07-30","2020-10-27"
"ABIL","1232","2015-12-24","2020-11-13","10","2016-05-02","2018-12-26"
"ABIO","5756","1998-01-02","2020-11-13","36","2009-11-16","2020-08-05"
"ABLX","170","2017-10-20","2018-07-18","0","NULL","NULL"
"ABM","5748","1998-01-02","2020-11-03","46","2009-06-04","2020-09-08"
"ABMD","5756","1998-01-02","2020-11-13","47","2009-05-12","2020-10-29"
"ABR","4174","2004-04-07","2020-11-03","47","2009-05-08","2020-10-30"
"ABRN","995","2014-05-15","2018-04-26","0","NULL","NULL"
"ABT","5748","1998-01-02","2020-11-03","46","2009-07-15","2020-10-21"
"ABTX","1286","2015-10-08","2020-11-13","21","2015-10-30","2020-10-29"
"ABUS","1333","2015-08-03","2020-11-13","28","2014-03-06","2020-11-05"
"ABX","5372","1998-01-02","2019-05-09","0","NULL","NULL"
"AC","1241","2015-12-01","2020-11-03","13","2015-12-15","2018-11-06"
"ACA","510","2018-10-30","2020-11-06","8","2019-02-27","2020-10-28"
"ACAD","4147","2004-05-27","2020-11-13","47","2009-05-11","2020-11-04"
"ACAMU","302","2019-02-22","2020-11-12","0","NULL","NULL"
"ACAMW","238","2019-04-15","2020-11-06","0","NULL","NULL"
"ACB","1595","2014-07-11","2020-11-06","7","2019-05-14","2020-11-09"
"ACBI","1269","2015-11-02","2020-11-13","21","2015-11-13","2020-10-22"
"ACC","4087","2004-08-12","2020-11-03","46","2009-07-28","2020-10-26"
"ACCD","88","2020-07-02","2020-11-04","1","2020-10-14","2020-10-14"
"ACCO","3831","2005-08-17","2020-11-03","36","2012-05-10","2020-10-27"
"ACER","793","2017-09-22","2020-11-13","26","2014-05-14","2020-11-10"
"ACERW","750","2015-04-14","2018-04-05","0","NULL","NULL"
"ACET","5425","1998-01-02","2019-07-25","39","2009-05-08","2018-11-08"
"ACEV","33","2020-09-21","2020-11-04","0","NULL","NULL"
"ACEVU","71","2020-07-28","2020-11-04","0","NULL","NULL"
"ACEVW","35","2020-09-17","2020-11-04","0","NULL","NULL"
"ACFC","3440","2004-10-05","2018-11-14","0","NULL","NULL"
"ACGL","5756","1998-01-02","2020-11-13","46","2009-07-23","2020-10-29"
"ACGLO","820","2017-08-15","2020-11-13","0","NULL","NULL"
"ACGLP","1044","2016-09-23","2020-11-13","0","NULL","NULL"
"ACH","4758","2001-12-11","2020-11-03","24","2009-08-25","2018-10-25"
"ACHC","5756","1998-01-02","2020-11-13","36","2012-03-07","2020-10-29"
"ACHN","3328","2006-11-09","2020-03-05","43","2009-05-15","2019-11-07"
"ACHV","5756","1998-01-02","2020-11-13","28","2014-03-11","2020-11-12"
"ACIA","1136","2016-05-13","2020-11-13","18","2016-08-11","2020-11-09"
"ACIU","1044","2016-09-23","2020-11-13","14","2017-05-11","2020-08-05"
"ACIW","5756","1998-01-02","2020-11-13","47","2009-05-06","2020-11-05"
"ACLS","5121","2000-07-11","2020-11-13","47","2009-05-11","2020-11-05"
"ACM","3397","2007-05-10","2020-11-03","46","2009-05-07","2020-08-04"
"ACMR","774","2011-11-18","2020-11-13","12","2017-12-07","2020-08-05"
"ACN","4855","2001-07-19","2020-11-03","46","2009-06-25","2020-09-24"
"ACNB","5756","1998-01-02","2020-11-13","30","2011-10-31","2019-01-30"
"ACOR","3717","2006-02-10","2020-11-13","47","2009-05-06","2020-11-03"
"ACP","2460","2011-01-27","2020-11-03","0","NULL","NULL"
"ACRE","2145","2012-04-27","2020-11-03","34","2012-08-14","2020-10-29"
"ACRS","1287","2015-10-07","2020-11-13","21","2015-11-18","2020-11-04"
"ACRX","2457","2011-02-11","2020-11-13","38","2011-08-11","2020-11-05"
"ACSF","1182","2014-01-16","2019-07-12","0","NULL","NULL"
"ACST","2398","2011-05-06","2020-11-13","22","2014-05-21","2020-08-13"
"ACT","736","2017-12-13","2020-11-13","6","2014-02-20","2015-05-11"
"ACTA","4716","1999-08-05","2019-07-12","0","NULL","NULL"
"ACTCU","31","2020-09-23","2020-11-04","0","NULL","NULL"
"ACTG","4511","2002-12-16","2020-11-13","40","2009-07-23","2020-11-09"
"ACTT","283","2019-05-14","2020-06-29","0","NULL","NULL"
"ACTTU","292","2019-04-26","2020-06-24","2","2020-03-30","2020-05-15"
"ACTTW","227","2019-05-14","2020-06-29","0","NULL","NULL"
"ACU","5748","1998-01-02","2020-11-03","46","2009-07-17","2020-10-21"
"ACV","1376","2015-05-22","2020-11-05","0","NULL","NULL"
"ACWI","3183","2008-03-28","2020-11-13","0","NULL","NULL"
"ACWX","3182","2008-03-31","2020-11-13","0","NULL","NULL"
"ACXM","5222","1998-01-02","2019-02-08","0","NULL","NULL"
"ACY","5736","1998-01-20","2020-11-03","43","2009-05-07","2019-11-14"
"ADAP","1394","2015-05-06","2020-11-13","21","2015-11-13","2020-11-05"
"ADBE","5756","1998-01-02","2020-11-13","46","2009-06-16","2020-09-15"
"ADC","5750","1998-01-02","2020-11-05","45","2009-07-30","2020-10-19"
"ADES","4234","2004-01-23","2020-11-13","36","2009-05-14","2020-05-11"
"ADI","5756","1998-01-02","2020-11-13","46","2009-05-19","2020-08-19"
"ADIL","576","2018-07-27","2020-11-06","5","2019-02-13","2020-08-13"
"ADILW","385","2018-07-27","2020-11-06","0","NULL","NULL"
"ADM","5750","1998-01-02","2020-11-05","47","2009-05-05","2020-10-29"
"ADMA","1783","2013-10-17","2020-11-13","27","2014-08-11","2020-11-05"
"ADMP","5756","1998-01-02","2020-11-13","29","2012-02-14","2020-11-09"
"ADMS","1663","2014-04-10","2020-11-13","27","2014-05-13","2020-11-05"
"ADNT","1012","2016-10-31","2020-11-05","15","2017-02-03","2020-08-06"
"ADOM","862","2017-06-15","2020-11-13","6","2017-11-13","2019-07-24"
"ADP","5756","1998-01-02","2020-11-13","47","2009-05-05","2020-10-28"
"ADPT","344","2019-06-27","2020-11-04","5","2019-08-13","2020-11-10"
"ADRA","4345","2002-11-13","2020-03-10","0","NULL","NULL"
"ADRD","4345","2002-11-13","2020-03-10","0","NULL","NULL"
"ADRE","4533","2002-11-13","2020-11-13","0","NULL","NULL"
"ADRO","1380","2015-04-15","2020-10-05","22","2015-05-28","2020-08-03"
"ADRU","4345","2002-11-13","2020-03-10","0","NULL","NULL"
"ADS","4880","2001-06-15","2020-11-05","46","2009-07-22","2020-10-29"
"ADSK","5756","1998-01-02","2020-11-13","46","2009-05-21","2020-08-25"
"ADSW","1026","2016-10-06","2020-11-02","15","2016-11-02","2020-07-30"
"ADT","2040","2012-09-28","2020-11-05","17","2014-01-30","2020-05-07"
"ADTN","5756","1998-01-02","2020-11-13","49","2009-07-14","2020-11-03"
"ADTX","90","2020-06-30","2020-11-04","0","NULL","NULL"
"ADUS","2782","2009-10-28","2020-11-13","44","2009-11-12","2020-11-02"
"ADVM","1227","2016-01-04","2020-11-13","26","2014-09-11","2020-11-05"
"ADX","5750","1998-01-02","2020-11-05","0","NULL","NULL"
"ADXN","192","2020-01-29","2020-11-04","0","NULL","NULL"
"ADXS","3853","2005-07-28","2020-11-13","31","2013-02-13","2020-09-10"
"ADXSW","1227","2013-10-17","2018-10-18","0","NULL","NULL"
"AE","5748","1998-01-02","2020-11-03","39","2009-05-13","2018-11-07"
"AEB","3764","2005-11-23","2020-11-05","0","NULL","NULL"
"AED","3412","2005-11-23","2019-06-28","0","NULL","NULL"
"AEE","5750","1998-01-02","2020-11-05","46","2009-08-06","2020-11-04"
"AEF","4988","2001-01-02","2020-11-06","0","NULL","NULL"
"AEG","5750","1998-01-02","2020-11-05","34","2009-05-14","2018-02-15"
"AEGN","5756","1998-01-02","2020-11-13","38","2011-10-25","2020-10-28"
"AEH","3651","2005-06-15","2019-12-13","0","NULL","NULL"
"AEHR","5756","1998-01-02","2020-11-13","44","2009-07-28","2020-09-24"
"AEIS","5756","1998-01-02","2020-11-13","46","2009-07-23","2020-11-05"
"AEK","1577","2012-02-07","2018-05-14","0","NULL","NULL"
"AEL","4262","2003-12-04","2020-11-06","47","2009-05-06","2020-10-29"
"AEM","5750","1998-01-02","2020-11-05","46","2009-07-29","2020-10-28"
"AEMD","5000","2001-01-02","2020-11-13","24","2014-02-11","2020-10-28"
"AEO","5750","1998-01-02","2020-11-05","46","2009-05-27","2020-09-09"
"AEP","5750","1998-01-02","2020-11-05","46","2009-07-31","2020-10-22"
"AER","3514","2006-11-21","2020-11-05","47","2009-05-07","2020-11-10"
"AERI","1777","2013-10-25","2020-11-13","28","2013-12-04","2020-11-05"
"AES","5750","1998-01-02","2020-11-05","47","2009-05-08","2020-11-06"
"AESE","760","2017-10-25","2020-11-05","4","2020-03-16","2020-11-09"
"AET","4712","2000-01-03","2018-09-24","0","NULL","NULL"
"AETI","3170","2006-12-28","2019-08-02","39","2009-05-01","2018-11-14"
"AEUA","754","2015-06-11","2018-06-07","0","NULL","NULL"
"AEY","5756","1998-01-02","2020-11-13","39","2009-05-12","2018-12-28"
"AEYE","1881","2013-04-26","2020-11-06","16","2015-07-17","2020-11-12"
"AEZS","5163","2000-05-10","2020-11-13","42","2009-05-06","2019-11-07"
"AFAM","4591","2000-01-03","2018-06-07","0","NULL","NULL"
"AFB","4728","2002-01-29","2020-11-05","0","NULL","NULL"
"AFC","3416","2007-04-17","2020-11-05","0","NULL","NULL"
"AFG","5750","1998-01-02","2020-11-05","47","2009-05-04","2020-10-28"
"AFGB","420","2019-03-19","2020-11-12","0","NULL","NULL"
"AFGE","1356","2014-09-24","2020-11-05","0","NULL","NULL"
"AFGH","1251","2015-11-18","2020-11-05","0","NULL","NULL"
"AFH","1949","2013-02-12","2020-11-05","25","2013-03-18","2019-03-04"
"AFHBL","840","2017-05-16","2020-11-13","0","NULL","NULL"
"AFI","1170","2016-03-17","2020-11-05","17","2016-08-12","2020-05-07"
"AFIB","65","2020-08-06","2020-11-05","2","2020-09-18","2020-11-12"
"AFIN","582","2018-07-19","2020-11-06","5","2019-11-06","2020-11-04"
"AFINP","413","2019-03-22","2020-11-06","0","NULL","NULL"
"AFL","5750","1998-01-02","2020-11-05","46","2009-07-29","2020-10-27"
"AFMD","1556","2014-09-12","2020-11-13","25","2014-11-18","2020-11-10"
"AFSI","3043","2006-11-13","2019-11-05","0","NULL","NULL"
"AFSS","996","2015-06-22","2019-06-05","0","NULL","NULL"
"AFST","935","2015-09-17","2019-06-05","0","NULL","NULL"
"AFT","2442","2011-02-25","2020-11-05","0","NULL","NULL"
"AFYA","330","2019-07-19","2020-11-05","5","2019-08-30","2020-08-27"
"AG","3510","2006-11-28","2020-11-05","40","2011-05-16","2020-11-05"
"AGBA","320","2019-07-31","2020-11-05","0","NULL","NULL"
"AGBAR","159","2019-07-18","2020-11-05","0","NULL","NULL"
"AGBAU","194","2019-05-14","2020-11-13","0","NULL","NULL"
"AGBAW","161","2019-07-30","2020-11-05","0","NULL","NULL"
"AGC","2820","2007-05-25","2018-08-06","0","NULL","NULL"
"AGCO","5751","1998-01-02","2020-11-06","46","2009-07-28","2020-11-03"
"AGD","3596","2006-07-27","2020-11-05","0","NULL","NULL"
"AGE","489","2018-11-29","2020-11-06","0","NULL","NULL"
"AGEN","5227","2000-02-08","2020-11-13","47","2009-05-07","2020-10-29"
"AGFS","1323","2015-08-03","2020-10-30","22","2015-08-14","2020-11-05"
"AGFSW","1216","2015-08-03","2020-08-04","0","NULL","NULL"
"AGI","2955","2009-02-13","2020-11-06","31","2013-04-25","2020-10-28"
"AGII","5126","1998-01-02","2019-05-17","0","NULL","NULL"
"AGIIL","1420","2012-09-25","2019-05-20","0","NULL","NULL"
"AGIO","1843","2013-07-24","2020-11-13","29","2013-11-07","2020-11-05"
"AGLE","1162","2016-04-07","2020-11-13","19","2016-05-19","2020-11-05"
"AGM","5750","1998-01-02","2020-11-05","47","2009-05-12","2020-11-09"
"AGMH","646","2018-04-18","2020-11-06","0","NULL","NULL"
"AGN","5626","1998-01-02","2020-07-02","43","2009-07-29","2020-02-10"
"AGNC","3149","2008-05-15","2020-11-13","46","2009-07-29","2020-10-26"
"AGNCB","1398","2014-05-09","2019-11-25","0","NULL","NULL"
"AGNCM","434","2019-02-28","2020-11-13","0","NULL","NULL"
"AGNCN","819","2017-08-16","2020-11-13","0","NULL","NULL"
"AGNCO","281","2019-09-27","2020-11-05","0","NULL","NULL"
"AGNCP","192","2020-02-05","2020-11-05","0","NULL","NULL"
"AGND","1620","2013-12-18","2020-05-27","0","NULL","NULL"
"AGO","4165","2004-04-23","2020-11-05","47","2009-05-07","2020-11-05"
"AGR","1231","2015-12-17","2020-11-05","19","2016-04-25","2020-10-20"
"AGRO","2461","2011-01-28","2020-11-05","32","2011-08-16","2019-11-14"
"AGRX","1633","2014-05-23","2020-11-13","26","2014-08-14","2020-11-12"
"AGS","702","2018-01-26","2020-11-06","8","2019-03-05","2020-11-05"
"AGTC","1673","2014-03-27","2020-11-13","25","2014-09-26","2020-09-09"
"AGX","5750","1998-01-02","2020-11-05","46","2009-06-08","2020-09-09"
"AGYS","5756","1998-01-02","2020-11-13","47","2009-06-05","2020-10-27"
"AGZD","1740","2013-12-18","2020-11-13","0","NULL","NULL"
"AHACU","35","2020-09-18","2020-11-05","0","NULL","NULL"
"AHC","3209","2008-02-11","2020-11-05","39","2009-05-04","2018-10-30"
"AHCO","605","2018-05-24","2020-11-04","2","2020-05-05","2020-11-04"
"AHGP","3039","2006-05-10","2018-07-11","0","NULL","NULL"
"AHH","1890","2013-05-08","2020-11-05","29","2013-08-13","2020-11-05"
"AHL","3826","2003-12-05","2019-06-14","39","2009-07-29","2019-02-06"
"AHP","1122","2013-11-06","2018-04-23","0","NULL","NULL"
"AHPA","552","2017-01-05","2019-03-28","0","NULL","NULL"
"AHPAU","293","2016-10-11","2019-01-18","0","NULL","NULL"
"AHPAW","296","2017-01-05","2018-08-06","0","NULL","NULL"
"AHPI","5756","1998-01-02","2020-11-13","38","2009-05-12","2018-11-14"
"AHT","4331","2003-08-26","2020-11-05","47","2009-05-05","2020-10-27"
"AI","5751","1998-01-02","2020-11-06","44","2009-08-10","2020-07-30"
"AIA","3270","2007-11-20","2020-11-13","0","NULL","NULL"
"AIC","1419","2015-03-20","2020-11-05","0","NULL","NULL"
"AIF","1940","2013-02-26","2020-11-05","0","NULL","NULL"
"AIG","5751","1998-01-02","2020-11-06","47","2009-05-07","2020-11-05"
"AIH","260","2019-10-25","2020-11-04","3","2020-04-24","2020-09-25"
"AIHS","668","2018-03-16","2020-11-06","0","NULL","NULL"
"AIKI","5288","1999-11-01","2020-11-04","0","NULL","NULL"
"AIMC","3503","2006-12-15","2020-11-13","47","2009-05-04","2020-10-23"
"AIMT","1307","2015-08-06","2020-10-13","21","2015-08-31","2020-07-30"
"AIN","5750","1998-01-02","2020-11-05","47","2009-05-04","2020-10-28"
"AINC","1504","2014-11-13","2020-11-03","25","2015-02-26","2020-10-28"
"AINV","4163","2004-05-05","2020-11-13","46","2009-06-01","2020-11-05"
"AIPT","369","2018-01-29","2019-07-17","11","2015-05-19","2017-11-14"
"AIQ","4676","2001-07-27","2020-11-06","15","2014-03-12","2017-08-03"
"AIR","5750","1998-01-02","2020-11-05","46","2009-07-14","2020-09-24"
"AIRG","1073","2016-08-12","2020-11-13","17","2016-09-20","2020-11-05"
"AIRI","5052","2000-10-05","2020-11-03","27","2013-11-11","2020-10-29"
"AIRR","1685","2014-03-11","2020-11-13","0","NULL","NULL"
"AIRT","5756","1998-01-02","2020-11-13","36","2009-06-02","2018-11-13"
"AIRTP","363","2019-06-11","2020-11-13","0","NULL","NULL"
"AIRTW","298","2019-06-12","2020-11-13","0","NULL","NULL"
"AIT","5750","1998-01-02","2020-11-05","46","2009-08-07","2020-10-28"
"AITB","458","2017-09-22","2019-08-20","2","2019-02-13","2019-06-25"
"AIV","5750","1998-01-02","2020-11-05","46","2009-07-31","2020-10-29"
"AIW","1887","2013-05-06","2020-11-05","0","NULL","NULL"
"AIY","1550","2013-06-26","2019-09-20","0","NULL","NULL"
"AIZ","4219","2004-02-05","2020-11-05","46","2009-07-29","2020-11-02"
"AIZP","674","2018-03-08","2020-11-06","0","NULL","NULL"
"AJG","5751","1998-01-02","2020-11-06","46","2009-07-28","2020-10-29"
"AJRD","5751","1998-01-02","2020-11-06","20","2015-07-10","2020-10-26"
"AJX","1444","2015-02-13","2020-11-05","24","2015-03-17","2020-11-05"
"AJXA","889","2017-04-28","2020-11-05","0","NULL","NULL"
"AKAM","5296","1999-10-29","2020-11-13","46","2009-07-29","2020-10-27"
"AKAO","1298","2014-03-12","2019-05-07","21","2014-05-12","2019-03-28"
"AKBA","1678","2014-03-20","2020-11-13","27","2014-05-12","2020-11-05"
"AKCA","818","2017-07-14","2020-10-12","13","2017-08-08","2020-08-04"
"AKER","1717","2014-01-23","2020-11-13","19","2014-05-14","2018-11-15"
"AKG","3234","2008-01-02","2020-11-03","28","2013-04-01","2020-02-13"
"AKP","4368","2002-01-29","2019-06-28","0","NULL","NULL"
"AKR","5751","1998-01-02","2020-11-06","46","2009-07-29","2020-11-03"
"AKRO","349","2019-06-20","2020-11-04","6","2019-08-12","2020-11-12"
"AKRX","4574","2002-08-02","2020-10-02","34","2009-05-12","2020-05-11"
"AKS","5588","1998-01-02","2020-05-06","43","2009-07-21","2020-02-20"
"AKTS","1255","2015-11-20","2020-11-13","15","2016-02-16","2020-10-30"
"AKTX","1299","2015-09-21","2020-11-13","15","2015-11-23","2020-05-29"
"AKU","366","2018-03-08","2020-11-04","0","NULL","NULL"
"AKUS","92","2020-06-26","2020-11-04","2","2020-08-13","2020-11-12"
"AL","2405","2011-04-19","2020-11-05","39","2011-05-16","2020-11-09"
"ALAC","487","2018-11-21","2020-11-06","0","NULL","NULL"
"ALACR","301","2018-11-21","2020-11-06","0","NULL","NULL"
"ALACU","504","2018-10-24","2020-11-06","0","NULL","NULL"
"ALACW","354","2018-11-21","2020-11-06","0","NULL","NULL"
"ALB","5750","1998-01-02","2020-11-05","46","2009-07-22","2020-11-04"
"ALBO","3404","2007-05-11","2020-11-13","26","2014-02-06","2020-11-05"
"ALC","401","2019-04-09","2020-11-06","6","2019-08-20","2020-11-10"
"ALCO","5756","1998-01-02","2020-11-13","39","2009-05-11","2018-12-06"
"ALDR","1375","2014-05-08","2019-10-22","21","2014-08-05","2019-08-06"
"ALDW","1315","2012-11-20","2018-02-12","0","NULL","NULL"
"ALDX","1648","2014-05-02","2020-11-13","26","2014-08-04","2020-11-05"
"ALE","5750","1998-01-02","2020-11-05","46","2009-08-05","2020-11-09"
"ALEC","443","2019-02-07","2020-11-06","7","2019-05-13","2020-11-10"
"ALEX","2114","2012-06-14","2020-11-05","34","2012-08-01","2020-10-29"
"ALG","5750","1998-01-02","2020-11-05","45","2009-11-04","2020-10-28"
"ALGN","4981","2001-01-30","2020-11-13","46","2009-07-23","2020-10-21"
"ALGR","421","2018-08-13","2020-04-20","0","NULL","NULL"
"ALGRR","243","2018-08-13","2020-04-20","0","NULL","NULL"
"ALGRU","444","2018-07-03","2020-04-20","0","NULL","NULL"
"ALGRW","289","2018-08-13","2020-07-02","0","NULL","NULL"
"ALGT","3508","2006-12-08","2020-11-13","46","2009-07-21","2020-10-28"
"ALIM","2662","2010-04-22","2020-11-13","43","2010-06-03","2020-10-28"
"ALJJ","5756","1998-01-02","2020-11-13","35","2009-05-15","2018-12-17"
"ALK","4988","2001-01-02","2020-11-05","46","2009-07-23","2020-10-22"
"ALKS","5756","1998-01-02","2020-11-13","48","2009-05-21","2020-10-29"
"ALL","5750","1998-01-02","2020-11-05","47","2009-05-07","2020-11-04"
"ALLE","1755","2013-11-18","2020-11-05","28","2014-02-19","2020-10-22"
"ALLK","582","2018-07-19","2020-11-06","8","2019-02-14","2020-11-09"
"ALLO","523","2018-10-11","2020-11-06","8","2019-03-08","2020-11-04"
"ALLT","3523","2006-11-16","2020-11-13","47","2009-05-12","2020-11-04"
"ALLY","1708","2014-01-28","2020-11-05","27","2014-05-01","2020-10-16"
"ALN","2228","2009-09-14","2018-07-19","0","NULL","NULL"
"ALNA","764","2017-11-02","2020-11-13","13","2017-12-14","2020-11-09"
"ALNY","4145","2004-06-01","2020-11-13","47","2009-05-07","2020-11-05"
"ALO","3423","2006-11-24","2020-07-01","12","2017-08-10","2020-05-07"
"ALOG","4650","2000-01-03","2018-08-01","0","NULL","NULL"
"ALOT","5756","1998-01-02","2020-11-13","46","2009-05-19","2020-09-09"
"ALPN","1365","2015-06-17","2020-11-13","22","2015-08-03","2020-11-12"
"ALQA","5083","1999-05-14","2019-07-26","19","2014-03-24","2018-10-26"
"ALRM","1358","2015-06-26","2020-11-13","22","2015-08-06","2020-11-05"
"ALRN","5756","1998-01-02","2020-11-13","14","2017-08-10","2020-11-12"
"ALRS","4985","2001-01-02","2020-11-04","4","2020-01-28","2020-10-28"
"ALSK","5282","1999-11-18","2020-11-13","40","2009-07-30","2019-05-06"
"ALSN","2178","2012-03-15","2020-11-06","36","2012-04-23","2020-10-28"
"ALT","3804","2005-10-06","2020-11-13","28","2014-03-11","2020-11-09"
"ALTA","1362","2015-06-11","2020-11-04","2","2020-07-29","2020-10-29"
"ALTM","887","2017-05-02","2020-11-06","6","2019-02-27","2020-11-04"
"ALTR","5756","1998-01-02","2020-11-13","20","2014-01-23","2020-08-06"
"ALTY","1138","2015-07-14","2020-01-17","0","NULL","NULL"
"ALV","5750","1998-01-02","2020-11-05","45","2009-07-21","2020-10-23"
"ALVR","69","2020-07-30","2020-11-04","1","2020-11-10","2020-11-10"
"ALX","5750","1998-01-02","2020-11-05","41","2009-05-04","2020-08-03"
"ALXN","5756","1998-01-02","2020-11-13","46","2009-07-23","2020-10-29"
"ALXO","78","2020-07-17","2020-11-04","2","2020-08-27","2020-11-12"
"ALYA","507","2018-11-02","2020-11-06","2","2019-08-14","2019-11-13"
"AM","1511","2014-11-05","2020-11-05","23","2015-04-29","2020-10-28"
"AMAG","5756","1998-01-02","2020-11-13","46","2009-07-29","2020-11-06"
"AMAL","569","2018-08-07","2020-11-06","8","2019-01-29","2020-10-28"
"AMAT","5756","1998-01-02","2020-11-13","47","2009-05-12","2020-11-12"
"AMBA","2038","2012-10-10","2020-11-13","32","2012-12-05","2020-09-02"
"AMBC","1901","2013-05-01","2020-11-13","30","2013-08-14","2020-11-09"
"AMBCW","1788","2013-08-22","2020-11-13","0","NULL","NULL"
"AMBO","615","2018-06-01","2020-11-06","0","NULL","NULL"
"AMBR","1346","2014-03-21","2019-07-26","21","2014-05-13","2019-05-09"
"AMC","1734","2013-12-18","2020-11-05","28","2014-02-25","2020-11-02"
"AMCA","819","2017-08-11","2020-11-13","0","NULL","NULL"
"AMCI","451","2019-01-23","2020-11-06","0","NULL","NULL"
"AMCIU","493","2018-11-16","2020-11-06","0","NULL","NULL"
"AMCIW","285","2019-01-24","2020-11-06","0","NULL","NULL"
"AMCN","2948","2007-11-07","2019-07-25","27","2009-05-18","2015-11-17"
"AMCR","421","2019-03-19","2020-11-13","5","2019-08-20","2020-11-05"
"AMCX","2371","2011-06-16","2020-11-13","38","2011-08-11","2020-11-02"
"AMD","5756","1998-01-02","2020-11-13","46","2009-07-21","2020-10-27"
"AMDA","4338","2002-01-02","2019-03-28","0","NULL","NULL"
"AME","5750","1998-01-02","2020-11-05","46","2009-07-28","2020-10-29"
"AMED","5756","1998-01-02","2020-11-13","46","2009-07-28","2020-10-28"
"AMEH","3244","2000-01-13","2020-11-13","9","2018-08-14","2020-11-04"
"AMG","5750","1998-01-02","2020-11-05","46","2009-07-29","2020-10-26"
"AMGN","5756","1998-01-02","2020-11-13","46","2009-07-27","2020-10-28"
"AMGP","467","2017-05-04","2019-06-14","7","2017-08-02","2019-02-13"
"AMH","1832","2013-08-01","2020-11-06","30","2013-08-20","2020-11-05"
"AMHC","208","2020-01-10","2020-11-04","0","NULL","NULL"
"AMHCU","241","2019-11-20","2020-11-04","0","NULL","NULL"
"AMHCW","132","2020-01-10","2020-11-04","0","NULL","NULL"
"AMID","2012","2011-07-27","2019-09-13","29","2011-11-14","2018-11-08"
"AMKR","5674","1998-05-01","2020-11-13","46","2009-07-29","2020-10-26"
"AMMA","622","2016-10-06","2019-03-28","0","NULL","NULL"
"AMN","4779","2001-11-13","2020-11-05","28","2014-02-20","2020-11-05"
"AMNB","5436","1999-04-13","2020-11-13","46","2009-07-22","2020-10-22"
"AMOT","5756","1998-01-02","2020-11-13","47","2009-05-13","2020-11-04"
"AMOV","4975","2001-02-07","2020-11-13","0","NULL","NULL"
"AMP","3814","2005-09-15","2020-11-06","46","2009-07-23","2020-10-28"
"AMPE","2669","2010-03-31","2020-11-03","29","2012-05-04","2020-07-31"
"AMPH","1611","2014-06-25","2020-11-13","26","2014-08-12","2020-11-06"
"AMR","408","2018-02-12","2019-10-16","2","2017-11-13","2019-02-26"
"AMRB","5504","1999-01-04","2020-11-13","46","2009-07-27","2020-10-22"
"AMRC","2593","2010-07-22","2020-11-05","42","2010-08-12","2020-11-02"
